feature,description,Bin,Count,Event rate,empirical_woe,used_woe,bin_index,coefficient,points,rounded_points
A27,Operating profit / financial expenses,"(-inf, -0.94)",311,0.3279742765273312,-1.8789847728416689,-1.8789847728416689,0,-0.5384097543922404,-29.1904449278778,-29.0
A27,Operating profit / financial expenses,"[-0.94, -0.08)",178,0.05056179775280899,0.33632792606464523,0.33632792606464523,1,-0.5384097543922404,5.224928879359605,5.0
A27,Operating profit / financial expenses,"[-0.08, 0.61)",883,0.004530011325028313,2.7961443250430773,2.7961443250430773,2,-0.5384097543922404,43.438721862088066,43.0
A27,Operating profit / financial expenses,"[0.61, 0.84)",187,0.0106951871657754,1.9308624329961712,1.9308624329961712,3,-0.5384097543922404,29.9963758771941,30.0
A27,Operating profit / financial expenses,"[0.84, 2.38)",679,0.023564064801178203,1.1278400564238726,1.1278400564238726,4,-0.5384097543922404,17.52124526517906,18.0
A27,Operating profit / financial expenses,"[2.38, inf)",1095,0.0410958904109589,0.5535367418590407,0.5535367418590407,5,-0.5384097543922404,8.59931597761531,9.0
A27,Operating profit / financial expenses,Special,0,0.0,0.0,0.0,6,-0.5384097543922404,0.0,0.0
A27,Operating profit / financial expenses,Missing,213,0.3192488262910798,-1.839120174277741,0.0,7,-0.5384097543922404,0.0,0.0
A39,Profit on sales / sales,"(-inf, -0.06)",316,0.37341772151898733,-2.078763805293338,-2.078763805293338,0,-0.25227855427408424,-15.131779863925837,-15.0
A39,Profit on sales / sales,"[-0.06, -0.01)",252,0.12698412698412698,-0.6684545679695737,-0.6684545679695737,1,-0.25227855427408424,-4.865828116592547,-5.0
A39,Profit on sales / sales,"[-0.01, 0.05)",1480,0.041891891891891894,0.5335221105247725,0.5335221105247725,2,-0.25227855427408424,3.8836250219676844,4.0
A39,Profit on sales / sales,"[0.05, inf)",1498,0.022696929238985315,1.1662209583828869,1.1662209583828869,3,-0.25227855427408424,8.489179371898992,8.0
A39,Profit on sales / sales,Special,0,0.0,0.0,0.0,4,-0.25227855427408424,0.0,0.0
A39,Profit on sales / sales,Missing,0,0.0,0.0,0.0,5,-0.25227855427408424,0.0,0.0
A46,(Current assets - inventory) / short-term liabilities,"(-inf, 0.24)",196,0.3673469387755102,-2.0527307649332274,-2.0527307649332274,0,-0.43305209755179297,-25.649368226393662,-26.0
A46,(Current assets - inventory) / short-term liabilities,"[0.24, 0.37)",178,0.16853932584269662,-1.000331319420249,-1.000331319420249,1,-0.43305209755179297,-12.499382188116034,-12.0
A46,(Current assets - inventory) / short-term liabilities,"[0.37, 0.55)",317,0.1167192429022082,-0.5724745209971833,-0.5724745209971833,2,-0.43305209755179297,-7.153207834229894,-7.0
A46,(Current assets - inventory) / short-term liabilities,"[0.55, 0.63)",178,0.06741573033707865,0.03073492704633418,0.03073492704633418,3,-0.43305209755179297,0.38404035964668487,0.0
A46,(Current assets - inventory) / short-term liabilities,"[0.63, 0.85)",501,0.05389221556886228,0.26902424416853865,0.26902424416853865,4,-0.43305209755179297,3.3615231078443664,3.0
A46,(Current assets - inventory) / short-term liabilities,"[0.85, inf)",2163,0.030975496994914472,0.8467472145277579,0.8467472145277579,5,-0.43305209755179297,10.5803115884036,11.0
A46,(Current assets - inventory) / short-term liabilities,Special,0,0.0,0.0,0.0,6,-0.43305209755179297,0.0,0.0
A46,(Current assets - inventory) / short-term liabilities,Missing,13,0.07692307692307693,-0.11143956173420833,0.0,7,-0.43305209755179297,0.0,0.0
A25,(Equity - share capital) / total assets,"(-inf, -0.30)",179,0.329608938547486,-1.886391912645882,-1.886391912645882,0,-0.18079890018994538,-9.84084167688791,-10.0
A25,(Equity - share capital) / total assets,"[-0.30, -0.01)",210,0.19047619047619047,-1.1494272285858833,-1.1494272285858833,1,-0.18079890018994538,-5.996278556852103,-6.0
A25,(Equity - share capital) / total assets,"[-0.01, 0.30)",906,0.09271523178807947,-0.31542261530934246,-0.31542261530934246,2,-0.18079890018994538,-1.6454820431324946,-2.0
A25,(Equity - share capital) / total assets,"[0.30, 0.52)",908,0.042951541850220265,0.5074352676135367,0.5074352676135367,3,-0.18079890018994538,2.6471647256216113,3.0
A25,(Equity - share capital) / total assets,"[0.52, 0.62)",366,0.02459016393442623,1.084164992921211,1.084164992921211,4,-0.18079890018994538,5.655821558308794,6.0
A25,(Equity - share capital) / total assets,"[0.62, inf)",976,0.015368852459016393,1.5635779963458734,1.5635779963458734,5,-0.18079890018994538,8.156801038191174,8.0
A25,(Equity - share capital) / total assets,Special,0,0.0,0.0,0.0,6,-0.18079890018994538,0.0,0.0
A25,(Equity - share capital) / total assets,Missing,1,0.0,0.0,0.0,7,-0.18079890018994538,0.0,0.0
A24,Gross profit over three years / total assets,"(-inf, -0.18)",341,0.2434017595307918,-1.4622272343971894,-1.4622272343971894,0,-0.11592389757868099,-4.890940478761951,-5.0
A24,Gross profit over three years / total assets,"[-0.18, -0.04)",273,0.1575091575091575,-0.9194670182925757,-0.9194670182925757,1,-0.11592389757868099,-3.0754853642892575,-3.0
A24,Gross profit over three years / total assets,"[-0.04, 0.09)",722,0.07340720221606649,-0.06085406494610224,-0.06085406494610224,2,-0.11592389757868099,-0.20354812339738776,-0.0
A24,Gross profit over three years / total assets,"[0.09, 0.16)",391,0.0076726342710997444,2.266046839432955,2.266046839432955,3,-0.11592389757868099,7.579601824556555,8.0
A24,Gross profit over three years / total assets,"[0.16, 0.81)",1564,0.027493606138107418,0.969576965043522,0.969576965043522,4,-0.11592389757868099,3.2430959525668355,3.0
A24,Gross profit over three years / total assets,"[0.81, inf)",178,0.11797752808988764,-0.5846228438973236,-0.5846228438973236,5,-0.11592389757868099,-1.955479603144673,-2.0
A24,Gross profit over three years / total assets,Special,0,0.0,0.0,0.0,6,-0.11592389757868099,0.0,0.0
A24,Gross profit over three years / total assets,Missing,77,0.0,0.0,0.0,7,-0.11592389757868099,0.0,0.0
A55,Working capital,"(-inf, -236.55)",566,0.18197879858657243,-1.0933481456656102,-1.0933481456656102,0,-0.24586162266172681,-7.756284863205596,-8.0
A55,Working capital,"[-236.55, 420.57)",603,0.12437810945273632,-0.6447380413522579,-0.6447380413522579,1,-0.24586162266172681,-4.573814782325316,-5.0
A55,Working capital,"[420.57, 872.49)",227,0.06607929515418502,0.05218986204759357,0.05218986204759357,2,-0.24586162266172681,0.3702383715720337,0.0
A55,Working capital,"[872.49, 8086.70)",1289,0.030256012412723042,0.8709909726444915,0.8709909726444915,3,-0.24586162266172681,6.178868207617868,6.0
A55,Working capital,"[8086.70, 20899.00)",469,0.006396588486140725,2.4492271339353278,2.4492271339353278,4,-0.24586162266172681,17.374981080642016,17.0
A55,Working capital,"[20899.00, inf)",392,0.02806122448979592,0.9485578908061219,0.9485578908061219,5,-0.24586162266172681,6.729133112358068,7.0
A55,Working capital,Special,0,0.0,0.0,0.0,6,-0.24586162266172681,0.0,0.0
A55,Working capital,Missing,0,0.0,0.0,0.0,7,-0.24586162266172681,0.0,0.0
A38,Constant capital / total assets,"(-inf, 0.07)",183,0.30601092896174864,-1.7775108157987667,-1.7775108157987667,0,-0.18093363307260193,-9.279746026479048,-9.0
A38,Constant capital / total assets,"[0.07, 0.34)",420,0.1380952380952381,-0.765145010242857,-0.765145010242857,1,-0.18093363307260193,-3.9945474904414078,-4.0
A38,Constant capital / total assets,"[0.34, 0.68)",1464,0.06284153005464481,0.10589001971458156,0.10589001971458156,2,-0.18093363307260193,0.5528137893487906,1.0
A38,Constant capital / total assets,"[0.68, 0.72)",258,0.007751937984496124,2.255684052397408,2.255684052397408,3,-0.18093363307260193,11.776116879953069,12.0
